Section,Lab 1: Favorite Number,Lab 2: Favorite Movie,Lab 3: Dog or Cat,Lab 4: 1 + 1,Lab 5: Favorite Color,Lab 6: Favorite Book Genre,Lab 7: Favorite Music Genre,Lab 8: Ask me a question,Lab 9: Favorite Lab,Lab 10: N/A
2,8,Home Alone,,,,,,,,
4,23,The Wizard of Oz,Dog,ice,Purple,Murder Mystery,Pop/Old Rock,Do you know the muffin man?,No idea,
4,7,,,,,,,,,
2,5,,,,,,,,,
2,25,Your name,Dog,I can't read,Blue,I can't read,Metal,How do I read?,This lab,
2,4,Red Tails,Fish,21,Blue,Mystery,Pop,How are you today?,the dog,
4,What he said ^,Star Wars III: Revenge of the Sith,Tasmanian Devil,perhaps,I'm color blind…,I'm subliterate,Country is a war crime,Doors or wheels?,CS225 I guess,
3,2,Killer Bean: Forever,Yes No,2,Black,Text,Rock/Rap,Why?,GUI,
1,8,Witch,Cat,1 + 1 + 1 is three,Red,Horror,Every song by Metallica,Who let the dogs out?,Golden lab,
2,42,Apollo 13,Dog,42,Blue,Sci-Fi,,,STAR Labs,
4,8,,,,,,,,,
1,7,Real Steel,,,Blue,Sci-Fi,EDM,You wont look at this…?,,
2,3,Happy Gilmore,Both,?,Silver,Fantasy/Sci-Fi,Everything but Country,Do you think there is a gnome in the walls?,IDK,
3,16,Golden Compass,,,,fantasy,Indie/Metal/Etc,Are you passing?,inheritance lab,
4,7,,,,,,,,ERPL,
3,3,Napolean Dynamite,Dog,2:),,,Emo :),Your mom?,your mom :) jk race game,
4,3,,Cat,¿?,Blue,Historical fiction/fanstasy,Indie rock,Is this the Krusty Krab?,CEC 222,
4,3,Teen Beach Movie,Cat ?,?love,Pink,Classic fiction,Alternative,Do you like your job?,I'm more of a cat person,
1,3,IDK,Dog,incorrect 1 + 1 !=? 1 + 1 = 2,Donut with Sprinkles,Sci-Fi/Fantasy,Alt-Rock/Pop Rock,If you were an animal what would you be?,This has been my only lab so far,
4,420,Nightmare b4 Christmas,Cat,,Blue,"Novel, fiction",Punk Rock,Are you okay?,CS225,
4,17,Top Gun,Dog,2,Blue,,,,,
3,9.90E+100,,,,,,,,,
2,6,Spiderverse/ No Way Home,Both,Binary :(,Orange,Fiction (Do comics count?),Alternative/Pop,How are you?,Lab,
2,7,E.T.,Dog,2!,Peachy Orange,Fiction/Biographies,Country/Pop,Favorite shade of color?,The first week of labs,
2,6,,,,,,,,,
2,1,Tenet,,,,,Metal and Grunge,How did you learn Java?,Easiest lab,
2,3,Top Gun,Africa,79,Aquamarine,,,How are you so patient?,This lab,
3,7,The Patriot,Dog,3,,Hatchet,Country,Are you as sleep deprived as us?,The second lab we left early & GUI lab,
2,0,Legally Blonde,Cat,1,Purple,,Alternative,What?,,
4,9,high lander,Dog,4,Org,Fanticy,Rock,How are you?,Yes,
2,4,American Psyco,Cat,420,Red,,Eurobeat,What do you do when bored?,SAD LABS,
2,69,Harry Potter,Cat,3,,Crime,EDM,Where are you from?,,
